id_tempo;anomes_iso;mes;ano;anomes_formatado
472;196501;1;1965;01/1965
473;196502;2;1965;02/1965
474;196503;3;1965;03/1965
475;196504;4;1965;04/1965
476;196505;5;1965;05/1965
477;196506;6;1965;06/1965
478;196507;7;1965;07/1965
479;196508;8;1965;08/1965
480;196509;9;1965;09/1965
481;196510;10;1965;10/1965
482;196511;11;1965;11/1965
483;196512;12;1965;12/1965
484;196600;0;1966;00/1966
485;196614;14;1966;14/1966
486;196613;13;1966;13/1966
487;196601;1;1966;01/1966
488;196602;2;1966;02/1966
489;196603;3;1966;03/1966
490;196604;4;1966;04/1966
491;196605;5;1966;05/1966
492;196606;6;1966;06/1966
493;196607;7;1966;07/1966
494;196608;8;1966;08/1966
495;196609;9;1966;09/1966
496;196610;10;1966;10/1966
497;196611;11;1966;11/1966
498;196612;12;1966;12/1966
499;196700;0;1967;00/1967
500;196714;14;1967;14/1967
501;196713;13;1967;13/1967
502;196701;1;1967;01/1967
503;196702;2;1967;02/1967
504;196703;3;1967;03/1967
505;196704;4;1967;04/1967
506;196705;5;1967;05/1967
507;196706;6;1967;06/1967
508;196707;7;1967;07/1967
509;196708;8;1967;08/1967
510;196709;9;1967;09/1967
511;196710;10;1967;10/1967
512;196711;11;1967;11/1967
513;196712;12;1967;12/1967
514;196800;0;1968;00/1968
515;196814;14;1968;14/1968
516;196813;13;1968;13/1968
517;196801;1;1968;01/1968
518;203709;9;2037;09/2037
519;203710;10;2037;10/2037
520;203711;11;2037;11/2037
521;203712;12;2037;12/2037
522;203800;0;2038;00/2038
523;203814;14;2038;14/2038
524;203813;13;2038;13/2038
525;203801;1;2038;01/2038
526;203802;2;2038;02/2038
527;203803;3;2038;03/2038
528;203804;4;2038;04/2038
529;203805;5;2038;05/2038
530;203806;6;2038;06/2038
531;203807;7;2038;07/2038
532;203808;8;2038;08/2038
533;203809;9;2038;09/2038
534;203810;10;2038;10/2038
535;203811;11;2038;11/2038
536;203812;12;2038;12/2038
537;203900;0;2039;00/2039
538;203914;14;2039;14/2039
539;203913;13;2039;13/2039
540;203901;1;2039;01/2039
541;203902;2;2039;02/2039
542;203903;3;2039;03/2039
543;203904;4;2039;04/2039
544;203905;5;2039;05/2039
545;203906;6;2039;06/2039
546;203907;7;2039;07/2039
547;203908;8;2039;08/2039
548;203909;9;2039;09/2039
549;203910;10;2039;10/2039
550;203911;11;2039;11/2039
551;203912;12;2039;12/2039
552;204000;0;2040;00/2040
553;204014;14;2040;14/2040
554;204013;13;2040;13/2040
555;204001;1;2040;01/2040
556;204002;2;2040;02/2040
557;204003;3;2040;03/2040
558;204004;4;2040;04/2040
559;204005;5;2040;05/2040
560;204006;6;2040;06/2040
561;204007;7;2040;07/2040
562;204008;8;2040;08/2040
563;204009;9;2040;09/2040
564;204010;10;2040;10/2040
565;204011;11;2040;11/2040
566;204012;12;2040;12/2040
567;204100;0;2041;00/2041
568;204114;14;2041;14/2041
569;204113;13;2041;13/2041
570;204101;1;2041;01/2041
571;204102;2;2041;02/2041
572;204103;3;2041;03/2041
573;204104;4;2041;04/2041
574;204105;5;2041;05/2041
575;204106;6;2041;06/2041
576;204107;7;2041;07/2041
577;204108;8;2041;08/2041
578;204109;9;2041;09/2041
579;204110;10;2041;10/2041
580;204111;11;2041;11/2041
581;204112;12;2041;12/2041
582;204200;0;2042;00/2042
583;204214;14;2042;14/2042
584;204213;13;2042;13/2042
585;204201;1;2042;01/2042
586;204202;2;2042;02/2042
587;204203;3;2042;03/2042
588;204204;4;2042;04/2042
589;204205;5;2042;05/2042
590;204206;6;2042;06/2042
591;204207;7;2042;07/2042
592;204208;8;2042;08/2042
593;204209;9;2042;09/2042
594;204210;10;2042;10/2042
595;204211;11;2042;11/2042
596;204212;12;2042;12/2042
597;204300;0;2043;00/2043
598;204314;14;2043;14/2043
599;204313;13;2043;13/2043
600;204301;1;2043;01/2043
601;204302;2;2043;02/2043
602;204303;3;2043;03/2043
603;204304;4;2043;04/2043
604;204305;5;2043;05/2043
605;204306;6;2043;06/2043
606;204307;7;2043;07/2043
607;204308;8;2043;08/2043
608;204309;9;2043;09/2043
609;204310;10;2043;10/2043
610;204311;11;2043;11/2043
611;204312;12;2043;12/2043
612;204400;0;2044;00/2044
613;204414;14;2044;14/2044
614;204413;13;2044;13/2044
615;204401;1;2044;01/2044
616;204402;2;2044;02/2044
617;204403;3;2044;03/2044
618;204404;4;2044;04/2044
619;204405;5;2044;05/2044
620;204406;6;2044;06/2044
621;204407;7;2044;07/2044
622;204408;8;2044;08/2044
623;204409;9;2044;09/2044
624;204410;10;2044;10/2044
625;204411;11;2044;11/2044
626;204412;12;2044;12/2044
627;204500;0;2045;00/2045
628;204514;14;2045;14/2045
629;204513;13;2045;13/2045
630;204501;1;2045;01/2045
631;204502;2;2045;02/2045
632;204503;3;2045;03/2045
633;204504;4;2045;04/2045
634;204505;5;2045;05/2045
635;204506;6;2045;06/2045
636;204507;7;2045;07/2045
637;204508;8;2045;08/2045
638;204509;9;2045;09/2045
639;204510;10;2045;10/2045
640;204511;11;2045;11/2045
641;204512;12;2045;12/2045
642;204600;0;2046;00/2046
643;204614;14;2046;14/2046
644;204613;13;2046;13/2046
645;204601;1;2046;01/2046
646;204602;2;2046;02/2046
647;196802;2;1968;02/1968
648;196803;3;1968;03/1968
649;196804;4;1968;04/1968
650;196805;5;1968;05/1968
651;196806;6;1968;06/1968
652;196807;7;1968;07/1968
653;196808;8;1968;08/1968
654;196809;9;1968;09/1968
